location_name,location_id,travel_limit_start_date,travel_limit_end_date,stay_home_start_date,stay_home_end_date,educational_fac_start_date,educational_fac_end_date,any_gathering_restrict_start_date,any_gathering_restrict_end_date,any_business_start_date,any_business_end_date,all_non-ess_business_start_date,all_non-ess_business_end_date
Nagaland,4864,2020-03-18,2020-05-04,2020-03-25,2020-06-01,2020-03-18,,2020-03-25,,2020-03-18,,2020-03-18,2020-04-25
Namibia,195,,,2020-04-14,2020-05-05,2020-03-16,2020-09-07,2020-03-14,,2020-04-14,,2020-04-14,2020-05-05
Navarre,60370,,,2020-03-15,2020-05-11,2020-03-14,,2020-03-15,,2020-03-15,,2020-03-15,2020-04-13
Nayarit,4660,,,2020-06-22,,2020-03-22,,2020-03-15,,2020-03-23,,2020-03-30,
Nebraska,550,,,,,2020-04-02,,2020-03-16,,2020-03-19,2020-07-06,,
Nepal,164,2020-03-24,2020-06-15,2020-03-24,2020-06-15,2020-03-18,,2020-03-18,,2020-03-18,,2020-03-22,2020-06-15
Netherlands,89,,,,,2020-03-15,2020-08-17,2020-03-10,,2020-03-12,,,
Nevada,551,,,2020-03-31,2020-05-09,2020-03-16,,2020-03-24,,2020-03-18,,2020-03-21,2020-05-09
New Hampshire,552,,,2020-03-27,2020-06-16,2020-03-16,,2020-03-16,,2020-03-16,2020-06-29,2020-03-28,2020-05-11
New Jersey,553,,,2020-03-21,2020-06-09,2020-03-18,,2020-03-16,,2020-03-16,,2020-03-21,2020-05-02
New Mexico,554,,,,,2020-03-13,,2020-03-12,,2020-03-16,,2020-03-24,2020-05-15
New York,555,,,2020-03-22,2020-06-08,2020-03-18,,2020-03-12,,2020-03-16,,2020-03-22,2020-06-08
New Zealand,72,,,2020-03-24,2020-05-14,2020-03-24,2020-05-18,2020-03-16,2020-06-09,2020-03-24,2020-06-09,2020-03-24,2020-04-28
Nicaragua,131,,,,,,,,,,,,
Niger,213,,,,,2020-03-17,2020-08-14,2020-03-13,2020-05-25,2020-03-18,,,
Nigeria,214,,,,,2020-03-23,,,,,,,
North Africa and Middle East,138,,,,,,,,,,,,
North America,44638,,,,,,,,,,,,
North Carolina,556,,,2020-03-30,2020-05-08,2020-03-14,,2020-03-14,,2020-03-17,,2020-03-30,2020-05-08
North Dakota,557,,,,,2020-03-16,,,,2020-03-20,,,
North Macedonia,49,,,2020-03-22,2020-05-13,2020-03-10,,2020-03-22,,2020-03-14,,2020-03-14,2020-05-13
North Rhine-Westphalia,60386,,,2020-03-23,2020-05-11,2020-03-16,,2020-03-23,,2020-02-26,,2020-03-23,2020-04-20
Northern Ireland,433,,,2020-03-23,2020-06-13,2020-03-23,2020-08-31,2020-03-23,,2020-03-23,,2020-03-23,2020-06-08
Norway,90,,,,,2020-03-12,2020-05-15,2020-03-12,,2020-03-12,,,
Nova Scotia,43864,,,,,2020-03-16,,2020-03-15,,2020-03-15,,,
Nuevo León,4661,,,2020-06-22,,2020-03-22,,2020-03-23,,2020-03-24,,2020-03-30,
Oaxaca,4662,,,2020-06-22,,2020-03-22,,2020-03-12,,2020-03-23,,2020-03-30,
Odisha,4865,2020-03-24,2020-05-18,2020-03-24,2020-06-01,2020-03-13,,2020-03-24,,2020-03-24,,2020-03-24,2020-05-04
Ohio,558,,,2020-03-23,2020-05-20,2020-03-16,,2020-03-12,,2020-03-15,,2020-03-23,2020-05-04
Oklahoma,559,,,,,2020-03-17,,2020-03-24,2020-05-24,2020-04-01,2020-06-01,2020-04-01,2020-04-24
Oman,150,,,,,2020-03-15,,2020-04-21,,2020-03-31,2020-10-01,,
Ontario,43866,,,,,2020-03-16,,2020-03-16,,2020-03-16,,2020-04-05,2020-05-04
Oregon,560,,,2020-03-23,2020-06-19,2020-03-16,,2020-03-12,,2020-03-17,,,
Pakistan,165,,,2020-03-24,2020-05-09,2020-03-15,2020-09-30,2020-03-24,,2020-03-24,,2020-03-24,2020-04-15
Palestine,149,2020-03-22,2020-05-29,2020-03-22,2020-05-29,2020-03-16,,2020-03-22,,2020-03-22,,2020-03-22,2020-05-05
Panama,132,2020-03-13,2020-06-01,2020-03-25,2020-06-01,2020-03-16,,2020-03-25,,2020-03-25,,2020-03-25,2020-05-13
Paraguay,136,,,2020-03-20,,2020-03-11,,2020-03-10,,2020-03-12,,2020-03-21,2020-05-25
Paraná,4765,,,,,2020-03-20,,2020-03-16,,2020-03-16,,2020-03-21,2020-06-22
Paraíba,4764,,,,,2020-03-19,,2020-03-17,,2020-03-29,,,
Pará,4763,2020-04-06,,,,2020-03-24,,2020-03-27,,2020-03-20,,2020-03-20,
Pennsylvania,561,,,2020-04-01,2020-06-05,2020-03-17,,2020-04-01,2020-09-14,2020-03-18,2020-07-03,2020-03-23,2020-05-08
Pernambuco,4766,,,,,2020-03-18,,,,2020-03-19,,2020-03-20,
Peru,123,,,2020-03-16,,2020-03-16,,2020-03-12,,2020-03-16,,2020-03-16,2020-05-01
Philippines,16,,,,,2020-03-16,,,,,,,
Piaui,4767,,,,,2020-03-16,,2020-03-16,,2020-03-19,,2020-03-23,
Piemonte,35494,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-05,,2020-03-07,,2020-03-07,2020-06-15,2020-03-11,2020-04-14
Poland,51,,,2020-03-24,2020-04-20,2020-03-12,2020-09-01,2020-03-10,,2020-03-31,,,
Portugal,91,2020-04-09,2020-05-02,2020-03-19,2020-05-02,2020-03-16,,2020-03-19,,2020-03-16,,2020-03-19,2020-05-02
Provincia autonoma di Bolzano,35498,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-05,,2020-03-11,,2020-03-11,2020-06-15,2020-03-11,2020-04-14
Provincia autonoma di Trento,35499,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-05,,2020-03-11,,2020-03-11,2020-06-15,2020-03-11,2020-04-14
Puebla,4663,,,2020-06-22,,2020-03-22,,2020-03-23,,2020-03-29,,2020-03-30,
Puerto Rico,385,,,2020-03-16,2020-06-16,2020-03-16,,2020-03-12,,2020-03-16,2020-06-16,2020-03-16,2020-05-04
Puglia,35510,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-05,,2020-03-11,,2020-03-11,2020-06-15,2020-03-11,2020-04-14
Punjab,4867,2020-03-23,2020-05-20,2020-03-23,2020-06-01,2020-03-19,,2020-03-22,,2020-03-23,,2020-03-23,2020-04-30
Punjab,53620,,,2020-03-24,2020-05-09,2020-03-15,,2020-03-24,,2020-03-24,,2020-03-24,2020-04-15
Qatar,151,,,,,2020-03-10,,2020-03-14,,2020-03-13,,2020-03-13,2020-06-15
Quebec,43868,,,,,2020-03-16,2020-09-02,2020-03-12,,2020-03-15,,2020-03-23,2020-05-11
Querétaro,4664,,,2020-06-22,,2020-03-15,,2020-03-13,,2020-03-23,,2020-03-30,
Quintana Roo,4665,,,2020-06-22,,2020-03-22,,2020-03-24,,2020-03-23,,2020-03-30,
Rajasthan,4868,2020-03-22,2020-05-25,2020-03-22,2020-06-01,2020-03-22,,2020-03-19,,2020-03-22,,2020-03-22,2020-05-14
Republic of Korea,68,,,,,2020-03-02,2020-06-08,,,2020-03-22,,,
Republic of Moldova,61,,,2020-03-25,2020-05-16,2020-03-11,,2020-03-10,,2020-03-13,,2020-03-16,2020-06-01
Rhineland-Palatinate,60387,,,2020-03-22,2020-05-13,2020-03-16,,2020-03-22,,2020-03-23,,2020-03-23,2020-04-20
Rhode Island,562,,,2020-03-28,2020-05-09,2020-03-16,,2020-03-17,,2020-03-17,,,
Rio Grande do Norte,4769,2020-06-04,,,,2020-03-24,,2020-04-01,,2020-04-01,,2020-04-01,
Rio Grande do Sul,4772,,,,,2020-04-01,,2020-03-19,,2020-03-19,,2020-04-01,2020-04-08
Rio de Janeiro,4768,,,2020-03-30,,2020-03-13,,2020-03-13,,2020-03-16,,,
Romania,52,,,2020-03-23,2020-05-15,2020-03-11,,2020-03-06,,2020-03-21,,2020-03-21,2020-05-15
Rondônia,4770,,,,,2020-03-17,,2020-03-20,,2020-03-20,,2020-03-20,
Roraima,4771,,,,,2020-03-17,,2020-03-16,,2020-03-22,,2020-03-27,
Russian Federation,62,,,,,2020-03-23,2020-09-01,,,2020-03-30,,2020-03-30,2020-05-12
Rwanda,185,2020-03-21,,2020-03-21,2020-05-04,2020-03-16,,2020-03-17,,2020-03-21,,2020-03-21,2020-05-04
Saarland,60388,,,2020-03-21,2020-05-18,2020-03-16,,2020-03-21,,2020-03-15,,,
San Luis Potosí,4666,,,2020-06-22,,2020-03-22,,2020-03-20,,2020-03-22,,2020-03-30,
San Marino,396,,,,,2020-02-23,,2020-03-08,2020-06-15,2020-03-08,,,
Santa Catarina,4773,,,,,2020-03-19,,2020-03-17,,2020-03-17,,2020-03-17,2020-04-13
Sao Tome and Principe,215,,,,,2020-03-19,,2020-03-19,,2020-03-19,,,
Sardegna,35514,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-05,,2020-03-11,,2020-03-11,2020-06-15,2020-03-11,2020-04-14
Saskatchewan,43869,,,,,2020-03-20,,2020-03-13,,2020-03-18,,,
Saudi Arabia,152,2020-03-26,2020-05-31,2020-05-25,2020-06-21,2020-03-09,,2020-03-15,,2020-03-15,,2020-03-15,2020-04-29
Saxony,60390,,,2020-03-23,2020-04-20,2020-03-23,2020-07-18,2020-03-23,,2020-03-23,,2020-03-23,2020-04-20
Saxony-Anhalt,60389,,,2020-03-22,2020-05-04,2020-03-16,2020-06-15,2020-03-22,,2020-03-24,,2020-03-24,2020-04-20
Schleswig-Holstein,60391,,,2020-03-24,2020-05-09,2020-03-16,,2020-03-24,,2020-03-14,,2020-03-24,2020-04-20
Scotland,434,,,2020-03-23,2020-05-28,2020-03-23,2020-08-18,2020-03-23,,2020-03-23,,2020-03-23,2020-05-28
Senegal,216,,,,,2020-03-16,,2020-03-14,,,,,
Serbia,53,2020-03-21,2020-04-23,2020-03-18,2020-05-07,2020-03-16,,2020-03-11,,2020-03-16,,2020-03-16,2020-04-21
Sergipe,4774,,,,,2020-03-16,,2020-03-16,,2020-03-20,,2020-03-24,2020-04-16
Shandong,513,2020-02-04,2020-02-18,2020-02-04,2020-02-18,2020-02-04,2020-02-18,2020-02-04,2020-02-18,2020-02-04,2020-02-18,2020-02-04,2020-02-18
Shanghai,514,2020-02-10,2020-03-24,2020-02-10,2020-03-24,2020-02-10,2020-03-24,2020-02-10,2020-03-24,2020-02-10,2020-03-24,2020-02-10,2020-03-24
Sicilia,35513,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-05,,2020-03-11,,2020-03-11,2020-06-15,2020-03-11,2020-04-14
Sierra Leone,217,,,2020-04-05,2020-04-08,2020-03-31,,2020-03-16,,2020-04-11,,2020-04-11,
Sinaloa,4667,,,,,2020-03-19,,2020-03-20,,2020-03-23,,2020-03-30,
Sindh,53621,,,2020-03-22,2020-05-09,2020-03-01,,2020-03-22,,2020-03-22,,2020-03-22,2020-04-15
Singapore,69,,,2020-04-07,2020-06-02,2020-04-08,2020-06-29,2020-03-20,,2020-03-26,,2020-04-07,2020-06-02
Slovakia,54,2020-04-08,2020-04-14,,,2020-03-12,2020-09-02,2020-03-12,,2020-03-16,2020-06-03,2020-03-16,2020-03-30
Slovenia,55,2020-03-16,2020-04-30,,,2020-03-16,2020-09-01,2020-03-12,,2020-03-15,,2020-03-15,2020-04-20
Somalia,187,,,,,2020-03-19,2020-08-15,2020-03-19,2020-05-29,,,,
Sonora,4668,,,2020-04-12,,2020-03-16,,2020-03-17,,2020-03-23,,2020-03-30,
South Africa,196,2020-03-27,,2020-03-27,2020-06-01,2020-03-18,,2020-03-15,,2020-03-27,,2020-03-27,2020-05-01
South Asia,159,,,,,,,,,,,,
South Carolina,563,,,2020-04-07,2020-05-04,2020-03-16,,2020-03-18,,2020-03-18,2020-08-03,,
South Dakota,564,,,,,2020-03-16,,2020-04-06,2020-04-28,,,,
South Sudan,435,2020-04-12,,2020-05-01,2020-07-08,2020-03-20,,2020-03-20,,2020-03-28,,2020-03-28,2020-05-08
Spain,92,,,,,,,,,,,,
Sri Lanka,17,2020-03-24,2020-04-27,,,2020-03-13,2020-08-10,2020-03-14,,2020-03-14,,,
Sub-Saharan Africa,166,,,,,,,,,,,,
Sudan,522,2020-04-12,,2020-05-01,2020-07-08,2020-03-15,,2020-03-15,,,,,
Suriname,118,,,2020-06-04,2020-06-12,2020-03-16,,2020-04-06,,2020-03-29,,,
Sweden,93,,,,,,,2020-03-11,,,,,
Switzerland,94,,,,,2020-03-13,2020-06-08,2020-02-28,,2020-03-16,,2020-03-16,2020-04-27
Syrian Arab Republic,153,2020-03-23,2020-05-10,,,2020-03-14,,2020-03-24,,2020-03-22,,2020-03-22,2020-04-18
São Paulo,4775,,,,,2020-03-23,,2020-03-14,,2020-03-24,,2020-03-24,2020-05-29
Tabasco,4669,,,,,2020-03-22,,2020-03-14,,2020-03-23,,2020-04-01,
Taiwan (Province of China),8,,,,,2020-02-02,2020-02-25,,,,,,
Tajikistan,39,,,,,2020-05-04,2020-08-17,2020-04-25,,,,,
Tamaulipas,4670,,,2020-06-22,,2020-03-16,,2020-03-13,,2020-03-23,,2020-03-30,
Tamil Nadu,4870,2020-03-24,2020-04-29,2020-03-24,2020-06-01,2020-03-24,,2020-03-23,,2020-03-24,,2020-03-24,2020-04-29
Telangana,4871,2020-03-22,2020-05-19,2020-03-22,2020-06-08,2020-03-14,,2020-03-22,,2020-03-22,,2020-03-22,2020-05-19
Tennessee,565,,,2020-04-02,2020-05-26,2020-03-20,,2020-03-23,,2020-03-23,,2020-04-01,2020-05-26
Texas,566,,,2020-04-02,2020-05-01,2020-03-19,,2020-03-21,2020-06-04,2020-03-21,,,
Thailand,18,,,,,2020-03-18,2020-08-13,,,,,,
Thuringia,60392,,,2020-03-22,2020-05-13,2020-03-17,2020-06-13,2020-03-22,2020-06-13,2020-03-15,,,
Tlaxcala,4671,,,,,2020-03-15,,2020-03-27,,2020-03-23,,2020-03-23,
Tocantins,4776,,,,,2020-03-18,,2020-03-21,,2020-05-05,,2020-05-05,
Togo,218,,,,,2020-03-20,,2020-03-20,,2020-03-21,,,
Toscana,35503,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-05,,2020-03-11,,2020-03-11,2020-06-15,2020-03-11,2020-04-14
Trinidad and Tobago,119,,,2020-03-30,2020-05-24,2020-03-16,,2020-03-16,,2020-03-17,,2020-03-30,2020-05-11
Tripura,4872,2020-03-24,2020-05-18,2020-03-24,2020-06-01,2020-03-17,,2020-03-24,,2020-03-24,,2020-03-24,2020-04-21
Tunisia,154,,,2020-03-22,2020-05-15,2020-03-13,,2020-03-16,2020-06-08,2020-03-13,2020-06-08,2020-03-22,2020-05-04
Turkey,155,,,,,2020-03-16,,2020-03-16,2020-05-29,2020-03-16,,,
Uganda,190,2020-03-30,2020-05-26,2020-03-30,2020-06-02,2020-03-20,,2020-03-18,,2020-03-18,,2020-03-30,2020-05-04
Ukraine,63,,,2020-04-03,2020-06-05,2020-03-12,,2020-03-12,,2020-03-12,,2020-03-17,2020-05-11
Umbria,35504,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-05,,2020-03-11,,2020-03-11,2020-06-15,2020-03-11,2020-04-14
United Arab Emirates,156,,,2020-03-23,2020-04-24,2020-03-08,,2020-03-23,,2020-03-23,,,
United Kingdom,95,,,2020-03-23,2020-06-19,2020-03-23,,2020-03-16,,2020-03-20,,2020-03-24,2020-06-29
United States Virgin Islands,422,,,2020-03-25,2020-05-04,2020-03-18,,2020-03-21,,2020-03-23,2020-06-01,2020-03-25,2020-05-04
United States of America,102,,,,,,,,,,,,
Uruguay,99,,,,,2020-03-15,2020-06-29,,,2020-03-17,,,
Utah,567,,,,,2020-03-16,,2020-03-19,2020-05-01,2020-03-19,,,
Uttar Pradesh,4873,2020-03-25,2020-05-20,2020-03-25,2020-06-01,2020-03-25,,2020-03-25,,2020-03-25,,2020-03-25,2020-05-20
Uttarakhand,4874,2020-03-22,2020-05-04,2020-03-22,2020-06-01,2020-03-13,,2020-03-22,,2020-03-22,,2020-03-22,2020-04-24
Uzbekistan,41,2020-03-27,2020-05-18,2020-03-27,2020-08-15,2020-03-16,,2020-03-23,,2020-03-21,,,
Valencian Community,60371,,,2020-03-15,2020-05-11,2020-03-14,,2020-03-15,,2020-03-15,,2020-03-15,2020-04-13
Valle d'Aosta,35495,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-05,,2020-03-11,,2020-03-11,2020-06-15,2020-03-11,2020-04-14
Veneto,35500,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-01,,2020-02-22,,2020-02-22,2020-06-15,2020-03-11,2020-04-14
Venezuela (Bolivarian Republic of),133,2020-03-17,,2020-03-20,,2020-03-16,,2020-03-12,,2020-03-16,,2020-03-16,2020-06-01
Veracruz de Ignacio de la Llave,4672,,,,,2020-03-16,,2020-03-16,,2020-03-23,,2020-03-30,
Vermont,568,,,2020-03-24,2020-05-15,2020-03-18,,2020-03-13,,2020-03-17,,2020-03-25,2020-05-04
Virginia,569,,,2020-03-30,2020-06-05,2020-03-16,,2020-03-15,,2020-03-17,,2020-03-24,2020-05-15
Wales,4636,2020-06-01,2020-07-06,2020-03-23,2020-06-01,2020-03-23,,2020-03-23,,2020-03-23,,2020-03-23,2020-06-22
Washington,570,,,2020-03-23,2020-07-03,2020-03-13,,2020-03-11,,2020-03-16,,2020-03-25,2020-07-03
West Bengal,4875,2020-03-24,2020-05-05,2020-03-24,2020-06-01,2020-03-14,,2020-03-24,,2020-03-24,,2020-03-24,2020-05-05
West Virginia,571,,,2020-03-25,2020-05-04,2020-03-14,,2020-03-24,,2020-03-18,,2020-03-24,2020-05-04
Wisconsin,572,,,2020-03-25,2020-05-13,2020-03-18,,2020-03-17,,2020-03-17,,2020-03-25,2020-05-11
Wyoming,573,,,,,2020-03-19,,2020-03-20,,2020-03-19,2020-05-15,,
Yemen,157,,,,,2020-03-25,,,,,,,
Yucatán,4673,,,2020-06-22,,2020-03-16,,2020-03-26,,2020-03-23,,2020-03-30,
Zacatecas,4674,,,2020-06-22,,2020-03-23,,2020-03-15,,2020-03-23,,2020-03-30,
Zambia,191,,,,,2020-03-20,2020-09-14,2020-03-25,,2020-03-25,,,
Zimbabwe,198,,,2020-03-30,,2020-03-23,,2020-03-23,,2020-03-23,,2020-03-30,2020-04-20
